,Unnamed: 0,honors,experience,gpa,scholarship_tag,scholarship_name
0,0,0,2,3.77,10,Beasiswa Bakti BCA
1,1,0,3,3.95,10,Beasiswa Bakti BCA
2,2,0,1,3.46,10,Beasiswa Bakti BCA
3,3,0,2,3.95,10,Beasiswa Bakti BCA
4,4,3,3,3.57,10,Beasiswa Bakti BCA
5,5,3,2,3.69,10,Beasiswa Bakti BCA
6,6,2,4,3.65,10,Beasiswa Bakti BCA
7,7,3,3,3.87,10,Beasiswa Bakti BCA
8,8,1,3,3.95,10,Beasiswa Bakti BCA
9,9,1,3,3.26,10,Beasiswa Bakti BCA
10,10,0,3,3.37,10,Beasiswa Bakti BCA
11,11,3,2,3.73,10,Beasiswa Bakti BCA
12,12,0,3,3.51,10,Beasiswa Bakti BCA
13,13,0,2,3.47,10,Beasiswa Bakti BCA
14,14,3,3,3.99,10,Beasiswa Bakti BCA
15,15,2,3,3.52,10,Beasiswa Bakti BCA
16,16,0,1,3.48,10,Beasiswa Bakti BCA
17,17,1,3,3.84,10,Beasiswa Bakti BCA
18,18,0,1,3.86,10,Beasiswa Bakti BCA
19,19,0,4,3.83,10,Beasiswa Bakti BCA
20,20,3,3,3.48,10,Beasiswa Bakti BCA
21,21,0,3,3.28,10,Beasiswa Bakti BCA
22,22,2,2,3.87,10,Beasiswa Bakti BCA
23,23,1,2,3.67,10,Beasiswa Bakti BCA
24,24,0,2,3.29,10,Beasiswa Bakti BCA
25,25,2,2,3.99,10,Beasiswa Bakti BCA
26,26,0,2,3.69,10,Beasiswa Bakti BCA
27,27,0,2,3.81,10,Beasiswa Bakti BCA
28,28,0,2,3.33,10,Beasiswa Bakti BCA
29,29,3,4,3.96,10,Beasiswa Bakti BCA
30,30,1,2,3.85,10,Beasiswa Bakti BCA
31,31,1,3,3.37,10,Beasiswa Bakti BCA
32,32,0,3,3.28,10,Beasiswa Bakti BCA
33,33,2,3,3.59,10,Beasiswa Bakti BCA
34,34,0,4,3.95,10,Beasiswa Bakti BCA
35,35,0,4,3.99,10,Beasiswa Bakti BCA
36,36,0,2,3.63,10,Beasiswa Bakti BCA
37,37,0,3,3.6,10,Beasiswa Bakti BCA
38,38,3,2,3.64,10,Beasiswa Bakti BCA
39,39,1,3,3.34,10,Beasiswa Bakti BCA
40,40,1,2,3.68,10,Beasiswa Bakti BCA
41,41,0,1,3.56,10,Beasiswa Bakti BCA
42,42,0,3,3.42,10,Beasiswa Bakti BCA
43,43,3,1,3.51,10,Beasiswa Bakti BCA
44,44,3,2,3.38,10,Beasiswa Bakti BCA
45,45,0,2,3.43,10,Beasiswa Bakti BCA
46,46,1,3,3.79,10,Beasiswa Bakti BCA
47,47,0,2,3.45,10,Beasiswa Bakti BCA
48,48,4,2,3.55,10,Beasiswa Bakti BCA
49,49,3,2,3.74,10,Beasiswa Bakti BCA
50,50,0,2,3.61,10,Beasiswa Bakti BCA
51,51,0,4,3.82,10,Beasiswa Bakti BCA
52,52,1,3,3.54,10,Beasiswa Bakti BCA
53,53,3,3,3.61,10,Beasiswa Bakti BCA
54,54,0,3,3.54,10,Beasiswa Bakti BCA
55,55,0,4,3.33,10,Beasiswa Bakti BCA
56,56,0,3,3.83,10,Beasiswa Bakti BCA
57,57,1,2,3.52,10,Beasiswa Bakti BCA
58,58,0,2,3.45,10,Beasiswa Bakti BCA
59,59,1,1,3.83,10,Beasiswa Bakti BCA
60,60,4,2,3.57,10,Beasiswa Bakti BCA
61,61,4,2,3.62,10,Beasiswa Bakti BCA
62,62,0,3,3.38,10,Beasiswa Bakti BCA
63,63,3,4,3.43,10,Beasiswa Bakti BCA
64,64,0,2,3.86,10,Beasiswa Bakti BCA
65,65,0,1,3.91,10,Beasiswa Bakti BCA
66,66,2,3,3.9,10,Beasiswa Bakti BCA
67,67,3,2,3.35,10,Beasiswa Bakti BCA
68,68,4,3,3.44,10,Beasiswa Bakti BCA
69,69,4,4,3.52,10,Beasiswa Bakti BCA
70,70,1,3,3.3,10,Beasiswa Bakti BCA
71,71,1,3,3.64,10,Beasiswa Bakti BCA
72,72,3,4,3.89,10,Beasiswa Bakti BCA
73,73,0,3,3.64,10,Beasiswa Bakti BCA
74,74,0,3,3.38,10,Beasiswa Bakti BCA
75,75,1,3,3.65,10,Beasiswa Bakti BCA
76,76,0,1,3.46,10,Beasiswa Bakti BCA
77,77,0,3,3.3,10,Beasiswa Bakti BCA
78,78,0,3,3.84,10,Beasiswa Bakti BCA
79,79,2,4,3.82,10,Beasiswa Bakti BCA
80,80,0,1,3.7,10,Beasiswa Bakti BCA
81,81,0,2,3.32,10,Beasiswa Bakti BCA
82,82,0,3,3.27,10,Beasiswa Bakti BCA
83,83,2,3,3.85,10,Beasiswa Bakti BCA
84,84,0,4,3.72,10,Beasiswa Bakti BCA
85,85,0,4,3.69,10,Beasiswa Bakti BCA
86,86,2,3,3.35,10,Beasiswa Bakti BCA
87,87,0,1,3.61,10,Beasiswa Bakti BCA
88,88,0,4,3.31,10,Beasiswa Bakti BCA
89,89,0,2,3.88,10,Beasiswa Bakti BCA
90,90,0,1,3.53,10,Beasiswa Bakti BCA
91,91,0,4,3.28,10,Beasiswa Bakti BCA
92,92,3,3,3.77,10,Beasiswa Bakti BCA
93,93,2,3,3.74,10,Beasiswa Bakti BCA
94,94,0,3,3.46,10,Beasiswa Bakti BCA
95,95,0,2,3.84,10,Beasiswa Bakti BCA
96,96,0,3,3.55,10,Beasiswa Bakti BCA
97,97,2,3,3.88,10,Beasiswa Bakti BCA
98,98,1,2,3.52,10,Beasiswa Bakti BCA
99,99,1,1,3.42,10,Beasiswa Bakti BCA
100,100,2,2,3.37,10,Beasiswa Bakti BCA
101,101,0,2,3.41,10,Beasiswa Bakti BCA
102,102,0,3,3.37,10,Beasiswa Bakti BCA
103,103,1,1,3.53,10,Beasiswa Bakti BCA
104,104,2,3,3.36,10,Beasiswa Bakti BCA
105,105,0,1,3.39,10,Beasiswa Bakti BCA
106,106,0,1,3.38,10,Beasiswa Bakti BCA
107,107,1,3,3.7,10,Beasiswa Bakti BCA
108,108,1,2,3.97,10,Beasiswa Bakti BCA
109,109,0,4,3.48,10,Beasiswa Bakti BCA
110,110,3,2,3.3,10,Beasiswa Bakti BCA
111,111,0,2,3.46,10,Beasiswa Bakti BCA
112,112,2,3,3.83,10,Beasiswa Bakti BCA
113,113,0,4,3.26,10,Beasiswa Bakti BCA
114,114,2,3,3.84,10,Beasiswa Bakti BCA
115,115,0,3,3.75,10,Beasiswa Bakti BCA
116,116,0,4,3.78,10,Beasiswa Bakti BCA
117,117,4,3,3.35,10,Beasiswa Bakti BCA
118,118,0,3,3.52,10,Beasiswa Bakti BCA
119,119,0,3,3.89,10,Beasiswa Bakti BCA
120,120,0,2,4.0,10,Beasiswa Bakti BCA
121,121,4,3,3.27,10,Beasiswa Bakti BCA
122,122,0,2,3.62,10,Beasiswa Bakti BCA
123,123,0,1,3.9,10,Beasiswa Bakti BCA
124,124,1,3,3.28,10,Beasiswa Bakti BCA
125,125,4,4,3.47,10,Beasiswa Bakti BCA
126,126,4,3,3.47,10,Beasiswa Bakti BCA
127,127,1,2,3.95,10,Beasiswa Bakti BCA
128,128,0,2,3.69,10,Beasiswa Bakti BCA
129,129,0,2,3.97,10,Beasiswa Bakti BCA
130,130,0,3,3.69,10,Beasiswa Bakti BCA
131,131,3,4,3.35,10,Beasiswa Bakti BCA
132,132,2,3,3.37,10,Beasiswa Bakti BCA
133,133,0,3,3.4,10,Beasiswa Bakti BCA
134,134,1,1,3.62,10,Beasiswa Bakti BCA
135,135,2,2,3.75,10,Beasiswa Bakti BCA
136,136,0,4,3.3,10,Beasiswa Bakti BCA
137,137,0,4,3.27,10,Beasiswa Bakti BCA
138,138,0,3,3.48,10,Beasiswa Bakti BCA
139,139,2,3,3.78,10,Beasiswa Bakti BCA
140,140,0,1,3.58,10,Beasiswa Bakti BCA
141,141,3,3,3.26,10,Beasiswa Bakti BCA
142,142,0,3,3.73,10,Beasiswa Bakti BCA
143,143,1,3,3.45,10,Beasiswa Bakti BCA
144,144,2,3,3.57,10,Beasiswa Bakti BCA
145,145,3,3,3.89,10,Beasiswa Bakti BCA
146,146,3,3,3.94,10,Beasiswa Bakti BCA
147,147,0,3,3.42,10,Beasiswa Bakti BCA
148,148,0,3,3.82,10,Beasiswa Bakti BCA
149,149,3,2,3.54,10,Beasiswa Bakti BCA
150,150,0,4,3.87,10,Beasiswa Bakti BCA
151,151,3,4,3.62,10,Beasiswa Bakti BCA
152,152,2,3,3.34,10,Beasiswa Bakti BCA
153,153,0,3,3.66,10,Beasiswa Bakti BCA
154,154,0,3,3.73,10,Beasiswa Bakti BCA
155,155,0,1,3.61,10,Beasiswa Bakti BCA
156,156,0,2,3.88,10,Beasiswa Bakti BCA
157,157,0,4,3.6,10,Beasiswa Bakti BCA
158,158,3,3,3.33,10,Beasiswa Bakti BCA
159,159,1,3,3.29,10,Beasiswa Bakti BCA
160,160,2,4,3.71,10,Beasiswa Bakti BCA
